Id,Label,timeset,isseed,seedrank,publishedat,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,indegree,outdegree,Degree,modularity_class
Ml3f0KeZnsY,Greta Thunberg | COP 25 High Level Event on Climate Emergency | Extinction Rebellion,,yes,142,1576112006,Extinction Rebellion,UCYThdLKE6TDwBJh-qDC6ICA,Nonprofits & Activism,46405,1804,409,0.226718,0,,32,27,59,0
vznT5nVOZgw,Greta Thunberg To Congress:  I Want You To Listen To The Scientists  | NBC News,,yes,86,1568825959,NBC News,UCeY0bbntWzzVIaj2z3QigXg,News & Politics,37464,578,234,0.404844,0,556,31,43,74,3
XookjtJ5M0U,Greta Thunberg  is right to be furious  | The Pledge,,yes,152,1569578329,Sky News,UCoMdktPbSTixAyNGwb-UYkQ,News & Politics,14259,118,239,2.025424,0,208,31,33,64,1
oCVQdr9QFwY,Make the World Greta Again (Full Documentary) - Time s 2019 Person of the Year,,yes,154,1558699208,VICE,UCn8zNIfYAQNdrFRrr8oibKw,Entertainment,755692,26666,9450,0.354384,0,11997,31,14,45,2
hKMX8WRw3fc,Greta Thunberg full speech at Extinction Rebellion protest in London,,yes,97,1555931417,Channel 4 News,UCTrQ7HXWRRxr7OsOtodr2_w,News & Politics,58622,1175,502,0.427234,0,1322,30,21,51,4
tALlM6uUWrc,Greta Thunberg at the Global Climate Strike in New York City,,yes,131,1569252925,350.org,UC2Qoew0Eikf_xoXRC_qCvwA,Nonprofits & Activism,71835,1983,487,0.245587,0,0,27,34,61,1
M7dVF9xylaw,Greta Thunberg: Our House Is On Fire! | World Economic Forum 2019,,yes,68,1548412232,World Economic Forum,UCw-kH-Od73XDAt7qtH9uBYA,News & Politics,191420,3472,540,0.15553,0,,26,24,50,4
FwY06xE24Es,Greta Thunberg tells MPs:  Our future was sold,,yes,100,1556047399,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,198885,1952,347,0.177766,0,730,26,38,64,4
rYNM4rsnNFM,Greta Thunberg full speech to UK Parliament | Climate strikes,,yes,143,1556111374,WWF UK,UCOFPJWr7NVoDuwGPOh3MdbQ,Nonprofits & Activism,93319,1342,312,0.232489,0,812,26,25,51,4
tE84D99ZsUM,Greta Thunberg reaches NYC after sailing across the Atlantic,,yes,78,1567042216,CBS News,UC8p1vwvWtl6T73JiExfWs1g,News & Politics,115698,1495,1609,1.076254,0,2005,25,28,53,4
0ZsHtpk0XII,Greta Thunberg Does The Carbon Budget Math,,yes,147,1575579999,The YEARS Project,UCxJf58pbfCYiDOKxRTJI9cA,News & Politics,45463,1929,395,0.204769,0,868,23,28,51,0
qxoLSJLNHUM,This could only be a fantasy : Greta Thunberg on sparking global climate strike movement,,yes,156,1569000055,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,39075,724,260,0.359116,0,431,23,45,68,3
iPKwKQVNy44,Greta Thunberg and First Nations leaders kick off climate rally in Montreal,,yes,106,1569602479,CBC News,UCuFFtHWoLl5fauMMD5Ww2jA,News & Politics,59132,1402,516,0.368046,0,931,22,35,57,1
51m1dNlJC5s,Climate activist Greta Thunberg glares at Donald Trump after giving powerful speech at UN,,yes,135,1569314112,euronews (in English),UCSrZ3UV4jOidv8ppoVuvW9Q,News & Politics,76819,361,253,0.700831,0,469,21,33,54,1
aHhVVdpN3PE,‘How dare you?’: Greta Thunberg chastises world leaders in emotional speech,,yes,177,1569301741,Hindustan Times,UCm7lHFkt2yB_WzL67aruVBQ,News & Politics,259836,7179,3081,0.429168,0,4183,21,35,56,1
itAu7Uw0sn8,Explained: The rise of Greta Thunberg,,yes,18,1568985621,Sky News,UCoMdktPbSTixAyNGwb-UYkQ,News & Politics,308556,3164,5402,1.707332,0,2621,20,38,58,2
N94eP2jKQWw,How dare you : This is Greta Thunberg s passionate cry for climate action | ABC News,,yes,19,1569296237,ABC News (Australia),UCVgO39Bk5sMo66-6o6Spn6Q,News & Politics,163422,3376,4538,1.344194,0,,20,37,57,1
1CnyqLogH0Y,Vladimir Putin criticises Greta Thunberg s UN speech on climate change - BBC News,,yes,15,1570182901,BBC News,UC16niRr50-MSBwiO3YDb3RA,News & Politics,1256672,48072,3278,0.068189,0,8324,19,23,42,2
VDBJMqZ6lWI,Teen climate activist Greta Thunberg speaks at four school strikes in a week,,yes,87,1551482796,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,71389,545,155,0.284404,0,189,19,31,50,4
xgadosxS6Q0,Greta Thunberg to politicians:  We re fighting for everyone s future,,yes,132,1550750676,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,56200,944,159,0.168432,0,360,19,23,42,4
i4hXzw2OnnE,Did President Trump Mock Teen Activist Greta Thunberg?,,yes,50,1569364202,Inside Edition,UC9k-yiEpRHMNVOnOi_aQK8w,News & Politics,1544979,33657,2824,0.083905,0,10642,18,19,37,2
POHRxmKdA_A,Greta Thunberg says she s taking a break,,yes,65,1576334990,CNN,UCupvZG-5ko_eiXAupbDfxWw,News & Politics,271491,3292,3369,1.02339,0,9074,18,20,38,0
M1o3NCPKZ4U,How Dare You? : 16-Year-Old Greta Thunberg Thunders At UN Climate Summit,,yes,76,1569257882,NDTV,UCZFMm1mMw0F81Z37aaEzTUA,Nonprofits & Activism,173403,3392,1343,0.395932,0,1370,18,36,54,1
ZdyBpfYvxs4,Greta Thunberg delivers speech at Vancouver climate strike rally,,yes,90,1572039688,CBC News,UCuFFtHWoLl5fauMMD5Ww2jA,News & Politics,55828,955,1170,1.225131,0,1487,18,37,55,1
7TyDvJvXAeE,People are tired  of the  Greta Thunberg show,,yes,176,1576572314,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,News & Politics,178375,5799,358,0.061735,0,3662,18,22,40,0
xVlRompc1yE,Emotional Greta Thunberg attacks world leaders:  How dare you?,,yes,11,1569269141,The Telegraph,UCPgLNge0xqQHWM5B5EFH9Cg,News & Politics,1452435,13883,29462,2.122164,0,0,17,31,48,2
QALmsrs2tks,Teen climate activist Greta Thunberg testifies to U.S. congress,,yes,81,1568821586,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,28777,324,256,0.790123,0,436,17,40,57,3
jVyF1lliSLo,Greta Thunberg sails the Atlantic for Climate Action,,yes,92,1568646409,The Global Goals,UCRfuAYy7MesZmgOi1Ezy0ng,Nonprofits & Activism,22812,239,143,0.598326,0,158,17,38,55,3
zbw91tCdC8Y,Greta Thunberg says the Global Climate Strike is ‘much bigger’ than skipping school | GMA,,yes,122,1569015698,Good Morning America,UCH1oRy1dINbMVp3UFWrKP0w,Entertainment,20256,536,181,0.337687,0,470,17,37,54,3
MBWc6R2lJjg,Greta Thunberg Is TIME Magazine s Person Of The Year | TODAY,,yes,139,1576069634,TODAY,UChDKyKQ59fYz3JO2fl0Z6sg,News & Politics,65316,1089,1691,1.552801,0,2165,17,28,45,0
FWsM9-_zrKo,Greta Thunberg s emotional speech to EU leaders,,yes,21,1555433533,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,826298,23161,4824,0.208281,0,4148,16,25,41,4
8Q6OuvySSOc,SNL spotlights  magic  of electoral college  Greta Thunberg,,yes,67,1576435030,Washington Post,UCHd62-u_v4DvJ8TCFtpi4GA,Entertainment,246209,1511,575,0.380543,0,644,16,19,35,0
HtM7ls1Y_BM,Greta Thunberg arrives in Lisbon before travelling to Madrid for #COP25 | LIVE,,yes,96,1575381582,euronews (in English),UCSrZ3UV4jOidv8ppoVuvW9Q,News & Politics,30956,481,314,0.652807,0,668,16,23,39,0
