Id,Label,timeset,isseed,seedrank,publishedat,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,indegree,outdegree,Degree,modularity_class
JjqnRTYrY5U,Greta Thunberg arrives in New York after 15-day journey across the Atlantic - watch live,,yes,193,1567053822,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,72842,1386,804,0.580087,0,,4,16,20,4
gl99R6FM5s8,The Greta Thunberg Helpline,,yes,198,1569523558,FridaysForFuture,UC-3DidyGMSVXOtAQuxOQn2w,People & Blogs,92251,1797,242,0.134669,0,469,4,24,28,1
ZP_QOcrFunY,Greta Thunberg joins climate protest in Switzerland | AFP,,yes,36,1579258533,AFP News Agency,UC86dbj-lbDks_hZ5gRKL49Q,News & Politics,917,17,16,0.941176,0,10,3,42,45,0
iv0Bb7KFe5o,Vous n avez encore rien vu  lance Greta Thunberg aux dirigeants mondiaux de Davos,,yes,57,1579292874,LeHuffPost,UC9GGzAhhvhJO1hL10-BcgNA,News & Politics,17605,221,49,0.221719,0,218,3,16,19,0
9n_St7PbGkg,Teen Activist Greta Thunberg Leads Global Climate Protest | NBC Nightly News,,yes,61,1569033279,NBC News,UCeY0bbntWzzVIaj2z3QigXg,News & Politics,72946,774,619,0.799742,0,1114,3,37,40,3
W5iHuSFJIEI,Greta Thunberg | A Young Protester Changing The World | Inspiring Women of Goalcast,,yes,112,1552080601,Goalcast,UCc4IYtPKkJLSAHHuJx1GiGQ,Entertainment,109739,4121,203,0.04926,0,460,3,11,14,4
WzSXS3SaFdk,Greta Thunberg s father says she s happy  but he worries about online hate aimed at her,,yes,123,1577756136,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,14510,169,333,1.970414,0,382,3,43,46,0
Hq489387cg4,Greta Thunberg speech to UN secretary general António Guterres,,yes,178,1544818366,FridaysForFuture,UC-3DidyGMSVXOtAQuxOQn2w,People & Blogs,10284,94,14,0.148936,0,8,3,23,26,4
zmXOPrCr_F4,Greta Thunberg stares down Donald Trump as he arrives for UN climate summit,,yes,41,1569262827,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,1973351,10010,4825,0.482018,0,6139,2,33,35,2
CAJuX7xed8o,Greta Thunberg at COP24:  You are never too small to make difference,,yes,118,1544435439,UN Climate Change,UCuLEr-GWiwCBB6zBDX3elOQ,News & Politics,10415,108,24,0.222222,0,14,2,26,28,4
HiYbKib8Mvg,Greta Thunberg: Trump is  so extreme  that he helps climate activists | AFP,,yes,138,1573821421,AFP News Agency,UC86dbj-lbDks_hZ5gRKL49Q,News & Politics,3608,75,38,0.506667,0,76,2,34,36,0
9aZLXKRUK10,Teen activist Greta Thunberg declines environmental award,,yes,149,1572468830,CBS News,UC8p1vwvWtl6T73JiExfWs1g,News & Politics,24985,279,271,0.971326,0,445,2,37,39,1
Z1znxp8b65E,Greta Thunberg addressed the COP24 plenary session December 12th,,yes,171,1544829424,FridaysForFuture,UC-3DidyGMSVXOtAQuxOQn2w,People & Blogs,14459,155,10,0.064516,0,17,2,29,31,4
nVfaPV2QQ68,Trump Goes After 16-Year-Old Greta Thunberg on Twitter,,yes,192,1576229402,The Tonight Show Starring Jimmy Fallon,UC8-Th83bH_thdKZDJCrn88g,Comedy,424452,5964,624,0.104628,0,1207,2,9,11,0
X3PMUqgdr6w,Spain: Greta Thunberg warns of  climate emergency  at COP25 in Madrid,,yes,199,1575901960,Ruptly,UC5aeU5hk31cLzq_sAExLVWg,News & Politics,1836,,,,0,30,2,12,14,0
f_v92wMFWJE,Greta Thunberg sees her Asperger s syndrome as a superpower in her climate fight,,yes,43,1569688858,CBC News: The National,UCKjU3KzdbJE1EFcHVqXC3_g,News & Politics,241699,2216,4789,2.161101,0,,1,34,35,1
1wtHeW85Pfg,The Year 2019: Greta Thunberg  the ‘Squad’ and other young newsmakers | ABC News,,yes,64,1577813400,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,News & Politics,70212,585,906,1.548718,0,1122,1,37,38,2
8meLjb6XIsE,Greta Thunberg joins hundreds of teenagers in climate protest in New York,,yes,79,1567189316,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,116852,1233,1948,1.579886,0,2295,1,27,28,2
hGgzh7cqfaA,Greta Thunberg: If you choose to fail us  we will never forgive you,,yes,107,1569268325,CNN,UCupvZG-5ko_eiXAupbDfxWw,News & Politics,296893,4411,6712,1.52165,0,14561,1,24,25,2
J3yLEW7zW40,Activist Greta Thunberg warns politicians not to be  greatest villains,,yes,119,1563376892,Sky News,UCoMdktPbSTixAyNGwb-UYkQ,News & Politics,16514,293,256,0.87372,0,390,1,32,33,4
DUJhi6D6kJk,Greta Thunberg Wins  Alternative Nobel,,yes,133,1569429345,QuickTake by Bloomberg,UChirEOpgFCupRAk5etXqPaA,News & Politics,95661,998,2693,2.698397,0,2635,1,31,32,1
cJAcuQEVxTY,Greta Thunberg full speech at the EU Parliament in Strasbourg,,yes,160,1555876677,FridaysForFuture,UC-3DidyGMSVXOtAQuxOQn2w,People & Blogs,21279,226,31,0.137168,0,43,1,24,25,4
8BKkSSAlqSc,Climate activist Greta Thunberg speaks after student climate protest in Antwerp - watch live,,yes,164,1551349336,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,8894,113,68,0.60177,0,60,1,20,21,4
BKUu6iKqd-A,Greta Thunberg arrives in New York ahead of UN Summit,,yes,165,1567038802,United Nations,UC5O114-PQNYkurlTg6hekZw,News & Politics,6589,79,47,0.594937,0,30,1,33,34,3
7xj0myujegs,Why Greta Thunberg is Super Cringe - My Views on Climate Change!,,yes,179,1578035750,Xiaxue,UCPSLIJgx-tOkrmS9NkKAy1Q,Entertainment,62390,4610,504,0.109328,0,554,1,25,26,2
LuUm6KDC5zw,Greta Thunberg Becomes TIME’s Person of the Year | The Daily Show,,yes,183,1576332005,The Daily Show with Trevor Noah,UCwWhs_6x42TyRM4Wstoq8HA,Comedy,443554,10771,582,0.054034,0,1487,1,11,12,0
kPcP1WlPGR4,Greta Thunberg s speech in Denver  Colorado | USA TODAY,,yes,185,1570824027,USA TODAY,UCP6HGa63sBC7-KHtkme-p-g,News & Politics,19818,333,313,0.93994,0,341,1,37,38,1
2fycgrYgXpA,Greta Thunberg speech at COP24,,yes,187,1561621868,Greta Thunberg,UCAgIfWgzZ6QtvB_Oj1SBNnA,Nonprofits & Activism,4027,355,175,0.492958,0,67,1,27,28,4
6SxEnQsllyM,Greta Thunberg joins a climate march rally in Switzerland | LIVE,,yes,9,1579255946,euronews (in English),UCSrZ3UV4jOidv8ppoVuvW9Q,News & Politics,4638,114,134,1.175439,0,117,0,40,40,0
u9KxE4Kv9A8,Greta Thunberg (Young Climate Activist) at the Climate Action Summit 2019 - Official Video,,yes,16,1569253537,United Nations,UC5O114-PQNYkurlTg6hekZw,News & Politics,1080852,9370,9578,1.022199,0,5552,0,27,27,1
AY_S7n3jkkU,Teen activist Greta Thunberg delivers emotional speech at UN,,yes,31,1569320188,South China Morning Post,UC4SUWizzKc1tptprBkWjX2Q,News & Politics,692871,8961,10199,1.138154,0,5826,0,42,42,1
Eo_-mxvGnq8,Greta Thunberg full speech at UN Climate Change COP25 - Climate Emergency Event,,yes,45,1576625835,Connect4Climate,UCy_asJvBaYI9h4Ih0BDBtpw,Nonprofits & Activism,2339,64,10,0.15625,0,25,0,37,37,0
Vm4_CQb8-L0,LIVE: Pressekonferenz Greta Thunberg auf der COP25 in Madrid,,yes,56,1575888527,phoenix,UCwyiPnNlT8UABRmGmU0T9jg,News & Politics,23495,,,,0,,0,19,19,0
UJ3Hi8a-0FQ,Greta Thunberg: ‘There’s no more time to wait’ | British GQ,,yes,80,1565593204,British GQ,UCUM0EMVw0nyynzUvwzO4vxQ,Entertainment,50524,874,1406,1.608696,0,980,0,42,42,4
e928xTEVmks,Greta Thunberg gives press conference | LIVE,,yes,82,1575886701,euronews (in English),UCSrZ3UV4jOidv8ppoVuvW9Q,News & Politics,23419,270,508,1.881482,0,483,0,35,35,0
Ae1mUb5EZn0,Greta Thunberg testifies on Climate Change before Congress,,yes,89,1568818055,C-SPAN,UCb--64Gl51jIEVE-GLDAVTg,News & Politics,34559,387,542,1.400517,0,687,0,45,45,3
7YrTjyBDzlU,Greta Thunberg and  Fridays for Future  – a growing student movement | DW Documentary,,yes,95,1572980400,DW Documentary,UCW39zufHfsuGgpLviKh297Q,Education,22543,518,390,0.752896,0,577,0,9,9,4
I2UwMSHgpGk,Greta Thunberg  Swedish environmental activist  gives a speech at Charlotte Climate Strike,,yes,104,1573245068,The Charlotte Observer,UCO6BPX6_ubwGTGHIVdYTpcg,News & Politics,105928,1465,4995,3.409556,0,4587,0,38,38,1
FrynUFpcDMk,Greta Thunberg joins climate strike rally in Los Angeles,,yes,110,1572658120,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,21022,402,402,1,0,254,0,30,30,2
RGf-SBar_r4,16 children  including Greta Thunberg  file landmark climate complaint to UN,,yes,111,1569255111,UNICEF,UCZceliiH71OLw4t4HcvKKjw,Nonprofits & Activism,59624,313,426,1.361022,0,426,0,37,37,1
pVtmaOGKz44,Greta Thunberg Rede COP25 in Madrid,,yes,126,1576069235,phoenix,UCwyiPnNlT8UABRmGmU0T9jg,News & Politics,52614,393,673,1.712468,0,,0,17,17,0
#NAME?,Teen Climate Activist Greta Thunberg Scolds Leaders for Inaction,,yes,130,1569263772,VOA News,UCVSNOxehfALut52NbkfRBaA,News & Politics,149442,1027,3066,2.985394,0,2251,0,46,46,1
vuXaAv7i2ZM,Greta Thunberg and the young activists fighting for their future,,yes,141,1557756771,Dazed,UCJATm9C8Xp8gMBKDIKPnvog,Music,14627,337,36,0.106825,0,61,0,30,30,4
1NLrYu2iSZE,Fridays For Future - In Stockholm with Greta Thunberg,,yes,145,1561393372,Astrid S,UCRWkUp26A4TFJQrjhkn-Vuw,People & Blogs,24122,987,122,0.123607,0,97,0,28,28,4
AFzcOKLWpx0,Greta Thunberg Departs Climate Summit in Electric Car,,yes,148,1575855515,VOA News,UCVSNOxehfALut52NbkfRBaA,News & Politics,56583,279,2041,7.315412,0,1964,0,37,37,0
golAjKMDuVk,Will Franken @ Comedy Unleashed - Climate Change and Greta Thunberg,,yes,155,1558538985,GWPF,UC9mMt7HEFxVa0godNFbV5fg,News & Politics,145860,8321,244,0.029323,0,1046,0,19,19,2
hQ0D-ZSgLis,Greta Thunberg Joins Arnold Schwarzenegger & More To Deliver Speeches On Climate | TIME,,yes,159,1559061511,TIME,UC8Su5vZCXWRag13H53zWVwA,News & Politics,8720,198,47,0.237374,0,50,0,22,22,4
2btUjLPiSQc,Italy: Greta Thunberg joins  Friday for Future  rally in Turin,,yes,162,1576260707,Ruptly,UC5aeU5hk31cLzq_sAExLVWg,News & Politics,6390,,,,0,96,0,25,25,0
jNfgnBcdkJw,Live | Greta Thunberg joins Canada s Montreal climate change march,,yes,163,1569608290,euronews (in English),UCSrZ3UV4jOidv8ppoVuvW9Q,News & Politics,33307,453,257,0.567329,0,558,0,24,24,1
QgaohZv3nPM,Greta Thunberg: Sustainable living should be easier,,yes,172,1575396421,Associated Press,UC52X5wxOL_s5yw0dQk7NtgA,News & Politics,1808,37,77,2.081081,0,,0,20,20,0
ynENV1YOTTw,Edmonton Greta Thunberg mural defaced,,yes,173,1571698523,CityNews Toronto,UCVKAcQQCO8vv87Gk62SutAg,News & Politics,11170,407,24,0.058968,0,285,0,28,28,2
u-z6QPpGCuw,Greta Thunberg #ClimateAction champion visits WHO pollution pods at the United Nations in New York,,yes,174,1569939585,World Health Organization (WHO),UC07-dOwgza1IguKA86jqxNA,Nonprofits & Activism,2963,37,28,0.756757,0,3,0,31,31,1
vCWL44gsb_s,Greta Thunberg - Time s Person of the Year for 2019,,yes,186,1576143001,Behind the News,UCcbE7twlpJfQVF2dO21fB1A,Education,20078,177,312,1.762712,0,25,0,27,27,0
Vwuevd4VG54,How dare you look the other way : Greta Thunberg s UN speech earns worldwide praise,,yes,189,1569314910,FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg,News & Politics,16682,133,155,1.165413,0,144,0,42,42,1
ABIbH-LtpFs,Greta Thunberg X Fat Boy Slim - Right Here  Right Now,,yes,190,1569283815,The Kiffness,UCFy846QdKs3LbLgBpSqPcdg,Music,650540,10670,722,0.067666,0,775,0,15,15,1
WRYPLqQrsMQ,Greta Thunberg - demanding a safe future | UNICEF,,yes,200,1569104136,UNICEF,UCZceliiH71OLw4t4HcvKKjw,Nonprofits & Activism,2508,206,4,0.019417,0,21,0,16,16,1
